date,ticker,volume_usd,trade_count
2026-02-09,CONTROLH-2026-D,9745.32,4
2026-02-09,CONTROLH-2026-R,15548.44,4
2026-02-09,GOVPARTYAZ-26-R,542.43,1
2026-02-09,GOVPARTYOH-26-R,562.96,1
2026-02-09,KXACAEXT-26JAN-27,756.03,1
2026-02-09,KXALIENS-27,650.25,1
2026-02-09,KXBALANCEPOWERCOMBO-27FEB-DR,4126.20,1
2026-02-09,KXBALANCEPOWERCOMBO-27FEB-RR,5167.80,3
2026-02-09,KXBOYCOTTWC-26,517.08,1
2026-02-09,KXCABOUT-29JAN-HLUT,1700.00,2
2026-02-09,KXCRYPTOSTRUCTURE-26JAN-MAR,4777.25,1
2026-02-09,KXDHSFUND-26FEB17,792.45,1
2026-02-09,KXDHSFUND-26FEB23,1070.19,2
2026-02-09,KXDHSFUND-26MAR01,3001.75,3
2026-02-09,KXDHSFUND-26MAR10,2145.60,2
2026-02-09,KXDHSFUNDING-26APR01,3054.80,3
2026-02-09,KXDHSFUNDING-26FEB14,4835.45,2
2026-02-09,KXDHSFUNDING-26MAR10,1496.51,2
2026-02-09,KXDHSFUNDING-26MAR20,1257.27,2
2026-02-09,KXDJTVOSTARIFFS,10331.65,7
2026-02-09,KXFEDCHAIRNOM-29-JS,569216.90,81
2026-02-09,KXFEDCHAIRNOM-29-KW,154159.35,40
2026-02-09,KXFEDLEADJUNE-26JUN17-JSHE,919.68,1
2026-02-09,KXGORDONDENTONBY-26MAR01-HSPE,802.78,1
2026-02-09,KXGOVCA-26-MMAH,624.25,1
2026-02-09,KXGOVFLNOMR-26-JCOL,970.00,1
2026-02-09,KXGOVTSHUTDOWN-26FEB14,13596.81,16
2026-02-09,KXGREENLAND-29-27,638.88,1
2026-02-09,KXHOUSERACE-NJ11-26-D,778.32,1
2026-02-09,KXHOUSERACE-WA04-26-R,1814.12,1
2026-02-09,KXIMPEACH-27-JAN01,608.13,1
2026-02-09,KXKHAMENEIOUT-AKHA-26APR01,2776.06,3
2026-02-09,KXKHAMENEIOUT-AKHA-26JUL01,726.92,1
2026-02-09,KXKHAMENEIOUT-AKHA-26MAR01,21419.19,14
2026-02-09,KXKHAMENEIOUT-AKHA-26SEP01,2340.00,3
2026-02-09,KXKY4R-26-TMAS,563.04,1
2026-02-09,KXLDPSEATS-26FEB08-A310,990.00,1
2026-02-09,KXLEADERSOUT-27JAN01-AKHAIRA,2000.00,2
2026-02-09,KXLEADERSOUT-27JAN01-KSTAUK,11462.19,12
