ticker,event_ticker,title
CONTROLH-2026-D,CONTROLH-2026,Will Democrats win the House in 2026?
CONTROLH-2026-R,CONTROLH-2026,Will Republicans win the House in 2026?
CONTROLS-2026-D,CONTROLS-2026,Will Democrats win the U.S. Senate in 2026?
CONTROLS-2026-R,CONTROLS-2026,Will Republicans win the U.S. Senate in 2026?
GOVPARTYAZ-26-R,GOVPARTYAZ-26,Will the Republican party win the governorship in Arizona
GOVPARTYCA-26-D,GOVPARTYCA-26,Will the Democratic party win the governorship in California
GOVPARTYMI-26-R,GOVPARTYMI-26,Will the Republican party win the governorship in Michigan
GOVPARTYMN-26-D,GOVPARTYMN-26,Will the Democratic party win the governorship in Minnesota
GOVPARTYNY-26-R,GOVPARTYNY-26,Will the Republican party win the governorship in New York
GOVPARTYOH-26-D,GOVPARTYOH-26,Will the Democratic party win the governorship in Ohio
GOVPARTYOH-26-R,GOVPARTYOH-26,Will the Republican party win the governorship in Ohio
GOVPARTYWA-28-D,GOVPARTYWA-28,Will the Democratic party win the governorship in Washington
GOVPARTYWA-28-R,GOVPARTYWA-28,Will the Republican party win the governorship in Washington
HOUSEVA2-26-D,HOUSEVA2-26,Will Democratic win the House race for VA-2?
HOUSEVA2-26-R,HOUSEVA2-26,Will Republican win the House race for VA-2?
KXACAEXT-26JAN-27,KXACAEXT-26JAN,"Will legislation extending or reinstating (if expired) enhanced ACA premium tax credits becomes law before Jan 1, 2027?"
KXACAEXT-26JAN-APR,KXACAEXT-26JAN,"Will legislation extending or reinstating (if expired) enhanced ACA premium tax credits becomes law before Apr 1, 2026?"
KXALIENS-27,KXALIENS-27,Will the U.S. confirm that aliens exist before 2027?
KXATTENDSOTU-BNET,KXATTENDSOTU,Will Benjamin Netanyahu attend the 2026 State of the Union Address?
KXATTENDSOTU-BTRU,KXATTENDSOTU,Will Barron Trump attend the 2026 State of the Union Address?
KXATTENDSOTU-DROD,KXATTENDSOTU,Will Delcy Rodriguez attend the 2026 State of the Union Address?
KXATTENDSOTU-DWHI,KXATTENDSOTU,Will Dana White attend the 2026 State of the Union Address?
KXATTENDSOTU-GNEW,KXATTENDSOTU,Will Gavin Newsom attend the 2026 State of the Union Address?
KXATTENDSOTU-KWAR,KXATTENDSOTU,Will Kevin Warsh attend the 2026 State of the Union Address?
KXATTENDSOTU-NGOR,KXATTENDSOTU,Will Neil Gorsuch attend the 2026 State of the Union Address?
KXBALANCEPOWERCOMBO-27FEB-DR,KXBALANCEPOWERCOMBO-27FEB,Will House Control be Democratic AND Senate Control be Republican for Feb 2027?
KXBALANCEPOWERCOMBO-27FEB-RR,KXBALANCEPOWERCOMBO-27FEB,Will House Control be Republican AND Senate Control be Republican for Feb 2027?
KXBILLCONTEMPT-26MAR01,KXBILLCONTEMPT-26MAR01,"Will a resolution finding Bill Clinton in contempt of Congress pass the House before Mar 1, 2026?"
KXBOYCOTTWC-26,KXBOYCOTTWC-26,Will any NATO member state boycott the USA World Cup in 2026?
