trade_id,ticker,price,count,count_fp,yes_price,no_price,yes_price_dollars,no_price_dollars,taker_side,created_time,created_time_et,value_usd
edb81e98-e1b2-4272-7dde-b59dcf71ff57,KXALIENS-27,0.16,4918,4918.00,16,84,0.1600,0.8400,no,2026-02-18T19:32:45.30636Z,2026-02-18T19:32:45.30636Z,4131.12
93ceed69-992a-5981-786d-5368de1bc2c1,KXKHAMENEIOUT-AKHA-26APR01,0.26,4530,4530.00,26,74,0.2600,0.7400,no,2026-02-18T19:05:16.119183Z,2026-02-18 02:05 PM ET,3352.2
4690faf8-ee09-42da-f75e-5582c64dcebf,KXWOMENTION-26FEB23-OVER,0.98,2826,2826.00,98,2,0.9800,0.0200,yes,2026-02-18T19:02:36.227977Z,2026-02-18 02:02 PM ET,2769.48
f9404119-4aae-59c9-64ac-e7bbf4106a16,KXKHAMENEIOUT-AKHA-26MAR01,0.08,3159,3159.00,8,92,0.0800,0.9200,no,2026-02-18T18:58:02.910583Z,2026-02-18 01:58 PM ET,2906.28
dd7396f2-41ae-5b20-4bb1-655089824212,KXKHAMENEIOUT-AKHA-26MAR01,0.08,4623,4623.00,8,92,0.0800,0.9200,no,2026-02-18T18:58:02.910583Z,2026-02-18 01:58 PM ET,4253.16
80b537aa-7000-451f-c3d3-088066079d89,KXGREENLAND-29-26MAY,0.04,20000,20000.00,4,96,0.0400,0.9600,no,2026-02-18T18:43:16.032179Z,2026-02-18 01:43 PM ET,19200.0
1f9b443f-c2f0-73a9-5889-22b161ad38c4,KXALIENS-27,0.17,10000,10000.00,17,83,0.1700,0.8300,no,2026-02-18T18:41:33.52988Z,2026-02-18T18:41:33.52988Z,8300.0
8d482af4-6707-4cf6-a5db-b89992174ecf,KXWOMENTION-26FEB23-GLAS,0.97,3333,3333.00,97,3,0.9700,0.0300,yes,2026-02-18T18:17:46.150077Z,2026-02-18 01:17 PM ET,3233.01
04fb5bc6-63eb-5f23-d43d-fdd5189e569e,KXWOMENTION-26FEB23-CAPT,0.98,9145,9145.00,98,2,0.9800,0.0200,yes,2026-02-18T18:17:24.579632Z,2026-02-18 01:17 PM ET,8962.1
01a0dc2a-b288-63d3-139b-ca1a563370de,KXPRESNOMR-28-STE,0.01,4000,4000.00,1,99,0.0100,0.9900,no,2026-02-18T18:17:21.684598Z,2026-02-18 01:17 PM ET,3960.0
2ead2d85-197f-7171-8885-adee80ca7b49,KXPRESNOMR-28-JH,0.01,8000,8000.00,1,99,0.0100,0.9900,no,2026-02-18T18:16:20.551713Z,2026-02-18 01:16 PM ET,7920.0
9c6401b7-2ea8-49de-6f2c-02020cdb14a6,KXTRUMPMENTION-26FEB28-SLEE,0.31,3176,3176.00,31,69,0.3100,0.6900,no,2026-02-18T18:09:31.103365Z,2026-02-18 01:09 PM ET,2191.44
ca1dc97f-ea92-4c35-57d6-7a477d6b9b47,KXWOMENTION-26FEB23-OVER,0.98,3737,3737.00,98,2,0.9800,0.0200,yes,2026-02-18T18:08:00.169064Z,2026-02-18 01:08 PM ET,3662.26
5fb0c971-efd4-6b01-ba3e-5f785602f6bd,KXWOMENTION-26FEB23-GLAS,0.96,5000,5000.00,96,4,0.9600,0.0400,yes,2026-02-18T18:03:40.440961Z,2026-02-18 01:03 PM ET,4800.0
7a04d919-7cfb-6eb0-8dfb-bab8398b4fa4,KXKHAMENEIOUT-AKHA-26MAR01,0.09,3539,3539.00,9,91,0.0900,0.9100,no,2026-02-18T18:03:38.593858Z,2026-02-18 01:03 PM ET,3220.49
d228e8c5-271e-52c4-8bc1-bec111f4b388,KXWOMENTION-26FEB23-FIRS,0.86,5000,5000.00,86,14,0.8600,0.1400,yes,2026-02-18T17:54:15.056579Z,2026-02-18 12:54 PM ET,4300.0
bfb7fae8-6c27-4e3e-955b-786b0b1a866a,KXWOMENTION-26FEB23-FIGH,0.84,5000,5000.00,84,16,0.8400,0.1600,yes,2026-02-18T17:54:11.347Z,2026-02-18 12:54 PM ET,4200.0
903dee48-292a-6977-81dc-806961f77c4f,KXKHAMENEIOUT-AKHA-26APR01,0.27,5000,5000.00,27,73,0.2700,0.7300,no,2026-02-18T17:49:54.687776Z,2026-02-18 12:49 PM ET,3650.0
0c941ad3-a1bd-6035-a3e8-f9f6959290b0,KXKHAMENEIOUT-AKHA-26APR01,0.27,5000,5000.00,27,73,0.2700,0.7300,no,2026-02-18T17:49:54.687776Z,2026-02-18 12:49 PM ET,3650.0
8eb997f2-ca97-5208-42ea-e0c6b3f722dd,KXWOMENTION-26FEB23-FIGH,0.84,4970,4970.00,84,16,0.8400,0.1600,yes,2026-02-18T17:49:11.89419Z,2026-02-18T17:49:11.89419Z,4174.8
05d89183-65be-41ef-503f-25917f80fde7,KXWOMENTION-26FEB23-GLAS,0.97,5000,5000.00,97,3,0.9700,0.0300,yes,2026-02-18T17:47:51.105359Z,2026-02-18 12:47 PM ET,4850.0
7c00393d-5d31-62c8-9a87-3850e67c7357,KXWOMENTION-26FEB23-FIRS,0.86,4506,4506.00,86,14,0.8600,0.1400,yes,2026-02-18T17:32:03.382817Z,2026-02-18 12:32 PM ET,3875.16
69c7b6dd-9b07-4f61-d086-7ef84a4806ba,KXWOMENTION-26FEB23-FIGH,0.86,3838,3838.00,86,14,0.8600,0.1400,yes,2026-02-18T17:26:55.529418Z,2026-02-18 12:26 PM ET,3300.68
3c94265f-5568-631b-3b4f-efba82d173c2,KXLEADERSOUT-27JAN01-AKHAIRA,0.59,3473,3473.00,59,41,0.5900,0.4100,yes,2026-02-18T17:17:54.742677Z,2026-02-18 12:17 PM ET,2049.07
a3cdc9b4-f967-5739-2830-03e2378b1937,KXWOMENTION-26FEB23-FIGH,0.79,3948,3948.00,79,21,0.7900,0.2100,yes,2026-02-18T17:15:15.874455Z,2026-02-18 12:15 PM ET,3118.92
9ae632d9-e527-48c8-09ee-67d44f0e3249,KXKHAMENEIOUT-AKHA-26APR01,0.27,9825,9825.00,27,73,0.2700,0.7300,yes,2026-02-18T17:14:50.338275Z,2026-02-18 12:14 PM ET,2652.75
4baf1b80-08cf-4555-2ac7-d3aa2c8f7bfc,KXKHAMENEIOUT-AKHA-26APR01,0.27,4837,4837.00,27,73,0.2700,0.7300,no,2026-02-18T17:08:17.952534Z,2026-02-18 12:08 PM ET,3531.01
8c6288ba-6254-461e-1b08-50901c5ce96e,KXFEDCHAIRNOM-29-JS,0.03,2785,2785.00,3,97,0.0300,0.9700,no,2026-02-18T16:26:40.880578Z,2026-02-18 11:26 AM ET,2701.45
2d071618-7684-7856-f804-9c0cf701e506,KXFEDCHAIRNOM-29-JS,0.03,15348,15348.00,3,97,0.0300,0.9700,no,2026-02-18T16:08:09.866791Z,2026-02-18 11:08 AM ET,14887.56
6db240c1-51d0-6088-c873-6027caeb0b37,KXKHAMENEIOUT-AKHA-26MAR01,0.08,5000,5000.00,8,92,0.0800,0.9200,no,2026-02-18T16:00:27.858568Z,2026-02-18 11:00 AM ET,4600.0
097802da-f2d2-6b7b-e4cb-68b73248cfc7,KXKHAMENEIOUT-AKHA-26MAR01,0.08,4433,4433.00,8,92,0.0800,0.9200,no,2026-02-18T16:00:27.858568Z,2026-02-18 11:00 AM ET,4078.36
3fab9593-b083-42ec-13eb-f5437c07e72c,KXKHAMENEIOUT-AKHA-26APR01,0.25,10000,10000.00,25,75,0.2500,0.7500,yes,2026-02-18T15:53:26.329983Z,2026-02-18 10:53 AM ET,2500.0
2d70e852-000a-6d1c-43d2-fd4fe53b04d3,KXWARSHNOM-26FEB20-T0,0.02,3870,3870.00,2,98,0.0200,0.9800,no,2026-02-18T15:52:42.574174Z,2026-02-18 10:52 AM ET,3792.6
8f5bcbf3-adc6-49da-401a-66d618bbad7d,KXJPNPM-26FEB08-STAK,0.99,5000,5000.00,99,1,0.9900,0.0100,yes,2026-02-18T15:27:31.79307Z,2026-02-18T15:27:31.79307Z,4950.0
03584d48-cf89-798a-acb6-9a788cb2a41b,KXSTARMERMENTIONB-26FEB19-TRUM,0.01,35111,35111.00,1,99,0.0100,0.9900,no,2026-02-18T15:21:41.782413Z,2026-02-18 10:21 AM ET,34759.89
9a6a2ecf-819d-626e-acc3-99b03accf22b,KXSTARMERMENTIONB-26FEB19-TRUM,0.01,10000,10000.00,1,99,0.0100,0.9900,no,2026-02-18T15:19:26.280319Z,2026-02-18 10:19 AM ET,9900.0
e17d91a8-df9e-4388-bee5-0e39aaa8a29a,KXFEDCHAIRNOM-29-KW,0.94,50000,50000.00,94,6,0.9400,0.0600,yes,2026-02-18T15:13:41.544596Z,2026-02-18 10:13 AM ET,47000.0
b71ea305-a6f9-44e1-98ca-48572d0f79eb,KXFEDCHAIRNOM-29-KW,0.94,10560,10560.00,94,6,0.9400,0.0600,yes,2026-02-18T15:13:41.544596Z,2026-02-18 10:13 AM ET,9926.4
7f4bc1ee-9c05-4241-b81b-0135c6fdc7c8,KXFEDCHAIRNOM-29-KW,0.94,5000,5000.00,94,6,0.9400,0.0600,yes,2026-02-18T15:13:41.544596Z,2026-02-18 10:13 AM ET,4700.0
6464064b-c745-4d40-8c5f-faa0f031a2f4,KXFEDCHAIRNOM-29-KW,0.94,10000,10000.00,94,6,0.9400,0.0600,yes,2026-02-18T15:13:41.544596Z,2026-02-18 10:13 AM ET,9400.0
44268745-2bf8-4fa4-9567-3f0a8afc9a2f,KXFEDCHAIRNOM-29-KW,0.94,183807,183807.00,94,6,0.9400,0.0600,yes,2026-02-18T15:13:41.544596Z,2026-02-18 10:13 AM ET,172778.58
f9e402f4-be90-4110-d64c-ad8ba9de1923,KXFEDCHAIRNOM-29-KW,0.94,10044,10044.00,94,6,0.9400,0.0600,yes,2026-02-18T15:12:59.619218Z,2026-02-18 10:12 AM ET,9441.36
8905e3d3-641c-5164-dd35-cbb58d85dfd3,KXFEDCHAIRNOM-29-KW,0.94,6000,6000.00,94,6,0.9400,0.0600,yes,2026-02-18T15:11:52.681288Z,2026-02-18 10:11 AM ET,5640.0
e639befa-aa5d-6d2f-2ddd-a094a0f8ea62,KXKHAMENEIOUT-AKHA-26APR01,0.19,4398,4398.00,19,81,0.1900,0.8100,no,2026-02-18T14:44:59.324559Z,2026-02-18 09:44 AM ET,3562.38
a21c32da-43d3-6d9b-0623-0d87c5f833ff,KXKHAMENEIOUT-AKHA-26APR01,0.19,10000,10000.00,19,81,0.1900,0.8100,no,2026-02-18T14:44:59.324559Z,2026-02-18 09:44 AM ET,8100.0
6eebaa1c-4f99-637f-3a60-8aea12df7067,KXKHAMENEIOUT-AKHA-26APR01,0.19,3333,3333.00,19,81,0.1900,0.8100,no,2026-02-18T14:44:59.324559Z,2026-02-18 09:44 AM ET,2699.73
eb983ea1-c86e-486d-5fd5-c2181d5f4a0e,KXFEDCHAIRNOM-29-JS,0.04,16511,16511.00,4,96,0.0400,0.9600,no,2026-02-18T14:44:10.203886Z,2026-02-18 09:44 AM ET,15850.56
d1b3964f-2efa-4dea-449c-823bf834ad4c,KXFEDCHAIRNOM-29-JS,0.04,6250,6250.00,4,96,0.0400,0.9600,no,2026-02-18T14:44:10.203886Z,2026-02-18 09:44 AM ET,6000.0
9a023313-b146-4c49-7649-88e5b31dcdee,KXFEDCHAIRNOM-29-JS,0.04,6250,6250.00,4,96,0.0400,0.9600,no,2026-02-18T14:44:10.203886Z,2026-02-18 09:44 AM ET,6000.0
e54fec83-0c56-5595-941b-84088907d682,KXFEDCHAIRNOM-29-JS,0.04,3489,3489.00,4,96,0.0400,0.9600,no,2026-02-18T14:44:08.83314Z,2026-02-18T14:44:08.83314Z,3349.44
b577af27-e829-566d-aef4-7f3a001f3d28,KXFEDCHAIRNOM-29-JS,0.04,50000,50000.00,4,96,0.0400,0.9600,no,2026-02-18T14:44:08.83314Z,2026-02-18T14:44:08.83314Z,48000.0
9b2adf6c-2283-519e-9a25-c51904bdd3d7,KXFEDCHAIRNOM-29-JS,0.04,330536,330536.00,4,96,0.0400,0.9600,no,2026-02-18T14:44:08.83314Z,2026-02-18T14:44:08.83314Z,317314.56
97b8229f-41b0-5e35-9146-0b6b5869e4ae,KXFEDCHAIRNOM-29-JS,0.04,5000,5000.00,4,96,0.0400,0.9600,no,2026-02-18T14:44:08.83314Z,2026-02-18T14:44:08.83314Z,4800.0
753f2cb4-0b79-537d-80ff-a9cb9295f48c,KXFEDCHAIRNOM-29-JS,0.04,100000,100000.00,4,96,0.0400,0.9600,no,2026-02-18T14:44:08.83314Z,2026-02-18T14:44:08.83314Z,96000.0
1ca80cf0-8a7b-5d7e-9f96-54ab3758fb02,KXFEDCHAIRNOM-29-JS,0.04,5000,5000.00,4,96,0.0400,0.9600,no,2026-02-18T14:44:08.83314Z,2026-02-18T14:44:08.83314Z,4800.0
148770f0-ed88-564b-88bb-0e10059f944f,KXFEDCHAIRNOM-29-JS,0.04,2500,2500.00,4,96,0.0400,0.9600,no,2026-02-18T14:44:08.83314Z,2026-02-18T14:44:08.83314Z,2400.0
80b7eed8-1edc-5eb6-efb8-54bf65eb787e,KXKHAMENEIOUT-AKHA-26MAR01,0.09,27273,27273.00,9,91,0.0900,0.9100,yes,2026-02-18T14:43:39.967578Z,2026-02-18 09:43 AM ET,2454.57
ed3ca274-85ef-7abe-7e95-5542908c0f5b,KXSTARMERMENTIONB-26FEB19-NATO,0.01,3970,3970.00,1,99,0.0100,0.9900,no,2026-02-18T14:31:39.869941Z,2026-02-18 09:31 AM ET,3930.3
e741ef0b-fd1f-78a8-a3b2-c529abc7fb9a,KXGOVCA-26-ESWA,0.6,5000,5000.00,60,40,0.6000,0.4000,yes,2026-02-18T14:30:09.135866Z,2026-02-18 09:30 AM ET,3000.0
237a72b1-5d6f-7f5c-d546-dfa04fd74587,KXSTARMERMENTIONB-26FEB19-HEAL,0.01,4675,4675.00,1,99,0.0100,0.9900,no,2026-02-18T14:26:13.27809Z,2026-02-18T14:26:13.27809Z,4628.25
d9f255ec-0f5c-4a69-9523-8d7932d0f841,KXSAVEACT-27-JAN04,0.15,3822,3822.00,15,85,0.1500,0.8500,no,2026-02-18T14:19:51.192481Z,2026-02-18 09:19 AM ET,3248.7
820e643d-d2ac-5eaa-8d9c-a1e29d926bfa,KXKHAMENEIOUT-AKHA-26MAR01,0.09,25502,25502.00,9,91,0.0900,0.9100,yes,2026-02-18T14:19:07.230151Z,2026-02-18 09:19 AM ET,2295.18
ced598a3-495c-462e-c6f1-0e0b415703df,KXSTARMERMENTIONB-26FEB19-ELEC,0.01,27013,27013.00,1,99,0.0100,0.9900,no,2026-02-18T14:14:52.09932Z,2026-02-18T14:14:52.09932Z,26742.87
1c8e496e-7de1-480d-d662-63615a918917,KXSTARMERMENTIONB-26FEB19-ELEC,0.01,5000,5000.00,1,99,0.0100,0.9900,no,2026-02-18T14:14:52.09932Z,2026-02-18T14:14:52.09932Z,4950.0
5e932ba6-5abc-4f89-2a8b-ee4d39bcac67,KXSTARMERMENTIONB-26FEB19-NHS,0.01,5000,5000.00,1,99,0.0100,0.9900,no,2026-02-18T14:14:33.84327Z,2026-02-18T14:14:33.84327Z,4950.0
273f71dc-b541-4d05-1e68-ca5c35d6bb35,KXSTARMERMENTIONB-26FEB19-NHS,0.01,19995,19995.00,1,99,0.0100,0.9900,no,2026-02-18T14:14:33.84327Z,2026-02-18T14:14:33.84327Z,19795.05
70e7f73c-2f83-50fa-e54a-70dc78043bdb,KXSTARMERMENTIONB-26FEB19-NATO,0.01,2805,2805.00,1,99,0.0100,0.9900,no,2026-02-18T14:07:07.919284Z,2026-02-18 09:07 AM ET,2776.95
4468d766-5f9d-6be1-474f-ae8805dcc7dd,KXSTARMERMENTIONB-26FEB19-NHS,0.01,9351,9351.00,1,99,0.0100,0.9900,no,2026-02-18T14:04:38.736433Z,2026-02-18 09:04 AM ET,9257.49
494954bd-477f-7866-20b2-703d0905f8eb,KXSTARMERMENTIONB-26FEB19-NATO,0.01,4675,4675.00,1,99,0.0100,0.9900,no,2026-02-18T14:02:47.511937Z,2026-02-18 09:02 AM ET,4628.25
59ce499c-81f8-53be-c6bd-7e7ebc18ab5f,KXSENATEMED-26-GRA,0.66,11707,11707.00,66,34,0.6600,0.3400,yes,2026-02-18T13:01:52.948192Z,2026-02-18 08:01 AM ET,7726.62
6b27f04e-f2e0-46eb-1423-714001030879,KXGOVTSHUTLENGTH-26FEB07-G15,0.87,2918,2918.00,87,13,0.8700,0.1300,yes,2026-02-18T12:39:41.984111Z,2026-02-18 07:39 AM ET,2538.66
3eeafb6f-a9a3-4c6e-3c2f-fa42b4f7c81e,KXKHAMENEIOUT-AKHA-26APR01,0.2,11000,11000.00,20,80,0.2000,0.8000,yes,2026-02-18T12:33:22.756917Z,2026-02-18 07:33 AM ET,2200.0
92086b79-49b0-5b74-ce7b-88e58193b32f,KXDHSFUND-26MAR01,0.16,5046,5046.00,16,84,0.1600,0.8400,no,2026-02-18T12:31:42.450435Z,2026-02-18 07:31 AM ET,4238.64
5ff3c116-aae7-421a-1ced-7c9448f2ea5b,KXFEDCHAIRNOM-29-JS,0.04,19213,19213.00,4,96,0.0400,0.9600,no,2026-02-18T12:22:10.612847Z,2026-02-18 07:22 AM ET,18444.48
4299d6ca-479c-468d-19e2-c77d40b9ce4f,KXFEDCHAIRNOM-29-JS,0.04,24769,24769.00,4,96,0.0400,0.9600,no,2026-02-18T12:22:10.612847Z,2026-02-18 07:22 AM ET,23778.24
8b08326d-8d62-7f31-208c-c49450b64e14,KXFEDCHAIRNOM-29-KW,0.94,2660,2660.00,94,6,0.9400,0.0600,yes,2026-02-18T11:04:00.734161Z,2026-02-18 06:04 AM ET,2500.4
7709970a-ee2a-7153-b770-90939b22db48,KXFEDCHAIRNOM-29-JS,0.05,90878,90878.00,5,95,0.0500,0.9500,yes,2026-02-18T10:34:27.531559Z,2026-02-18 05:34 AM ET,4543.9
35676d52-a740-6381-e06c-8944d0304d7b,KXFEDCHAIRNOM-29-JS,0.04,9675,9675.00,4,96,0.0400,0.9600,no,2026-02-18T08:40:39.697575Z,2026-02-18 03:40 AM ET,9288.0
